step,local_step,timestamp,elapsed_time_sec,loss,config_idx,ps_num,worker_num,intra_op_parallelism_threads,inter_op_parallelism_threads
1,1,1509002590.465324,2.217406,0.966399,0,9,27,15,1
2,1,1509002591.998309,3.634101,0.923398,0,9,27,15,1
3,1,1509002592.230409,3.983108,0.954199,0,9,27,15,1
4,1,1509002592.308406,4.059178,0.951899,0,9,27,15,1
5,1,1509002593.542660,5.273717,0.959998,0,9,27,15,1
6,1,1509002593.910746,5.635184,0.959462,0,9,27,15,1
7,1,1509002593.979901,5.725003,0.964881,0,9,27,15,1
8,1,1509002594.162351,5.812067,0.966284,0,9,27,15,1
9,1,1509002594.170342,5.880648,0.967390,0,9,27,15,1
10,1,1509002594.219704,5.906968,0.959463,0,9,27,15,1
11,2,1509002594.226148,5.505462,0.951905,0,9,27,15,1
12,1,1509002594.280412,5.982334,0.960868,0,9,27,15,1
13,2,1509002594.305475,5.535425,0.939047,0,9,27,15,1
14,1,1509002594.330242,6.037946,0.952137,0,9,27,15,1
15,1,1509002594.498112,6.222892,0.959598,0,9,27,15,1
16,1,1509002594.540795,6.242208,0.992374,0,9,27,15,1
17,4,1509002594.623050,4.135765,0.909297,0,9,27,15,1
18,1,1509002594.733561,6.442884,0.974112,0,9,27,15,1
19,2,1509002594.817411,6.041998,0.955826,0,9,27,15,1
20,8,1509002594.917509,2.665613,0.868717,0,9,27,15,1
21,1,1509002594.945171,6.676062,0.968599,0,9,27,15,1
22,1,1509002594.969856,6.679998,0.966384,0,9,27,15,1
23,2,1509002594.978159,6.277080,0.944922,0,9,27,15,1
24,1,1509002595.030941,6.696296,0.968394,0,9,27,15,1
25,1,1509002595.034687,6.775099,0.963176,0,9,27,15,1
26,1,1509002595.067698,6.819808,0.964577,0,9,27,15,1
27,7,1509002595.074334,2.743746,0.845317,0,9,27,15,1
28,2,1509002595.084033,6.335293,0.931852,0,9,27,15,1
29,1,1509002595.111561,6.397598,0.953612,0,9,27,15,1
30,1,1509002595.120124,6.370175,0.964577,0,9,27,15,1
31,6,1509002595.131793,3.111438,0.867215,0,9,27,15,1
