step,local_step,timestamp,elapsed_time_sec,loss,config_idx,ps_num,worker_num,intra_op_parallelism_threads,inter_op_parallelism_threads
1,1,1509156050.856605,1.704746,2.304815,0,22,14,2,14
2,2,1509156051.256679,0.378424,2.304732,0,22,14,2,14
3,1,1509156051.364756,1.776317,2.304003,0,22,14,2,14
4,1,1509156051.408830,1.744690,2.301697,0,22,14,2,14
5,1,1509156051.425865,1.805675,2.305558,0,22,14,2,14
6,1,1509156051.438142,1.882096,2.300181,0,22,14,2,14
7,1,1509156051.449916,1.853758,2.301548,0,22,14,2,14
8,1,1509156051.475211,2.361574,2.299182,0,22,14,2,14
9,1,1509156051.522650,1.974494,2.303234,0,22,14,2,14
10,1,1509156051.552414,1.964925,2.300179,0,22,14,2,14
11,1,1509156051.571561,1.902246,2.304455,0,22,14,2,14
12,1,1509156051.590346,1.942886,2.306035,0,22,14,2,14
13,1,1509156051.629482,2.059524,2.302852,0,22,14,2,14
14,1,1509156051.684485,2.082817,2.300542,0,22,14,2,14
15,3,1509156051.698611,0.440538,2.286296,0,22,14,2,14
16,1,1509156051.763776,2.104499,2.302620,0,22,14,2,14
17,4,1509156051.822968,0.439596,2.284957,0,22,14,2,14
18,6,1509156051.886691,0.459546,2.304463,0,22,14,2,14
19,7,1509156051.890869,0.445992,2.305533,0,22,14,2,14
20,8,1509156052.002243,0.544120,2.296955,0,22,14,2,14
21,8,1509156052.007458,0.537001,2.296933,0,22,14,2,14
22,9,1509156052.017893,0.540969,2.279269,0,22,14,2,14
23,10,1509156052.076172,0.532907,2.289286,0,22,14,2,14
24,16,1509156052.134253,0.434166,2.290356,0,22,14,2,14
25,12,1509156052.145852,0.561498,2.289196,0,22,14,2,14
26,13,1509156052.162339,0.550793,2.303563,0,22,14,2,14
27,14,1509156052.171075,0.524593,2.288393,0,22,14,2,14
28,18,1509156052.213560,0.389374,2.292601,0,22,14,2,14
29,17,1509156052.223974,0.439070,2.293388,0,22,14,2,14
30,16,1509156052.231727,0.525584,2.290362,0,22,14,2,14
31,12,1509156052.293829,0.720958,2.278188,0,22,14,2,14
32,19,1509156052.373920,0.485754,2.251223,0,22,14,2,14
33,20,1509156052.393948,0.502250,2.305696,0,22,14,2,14
34,21,1509156052.400713,0.396981,2.273418,0,22,14,2,14
35,22,1509156052.407423,0.398445,2.266680,0,22,14,2,14
