step,local_step,timestamp,elapsed_time_sec,loss,config_idx,ps_num,worker_num,intra_op_parallelism_threads,inter_op_parallelism_threads
1,1,1509196599.215585,2.525390,0.972199,0,28,8,9,7
2,1,1509196599.720757,2.646253,0.960999,0,28,8,9,7
3,1,1509196599.757142,2.682425,0.990699,0,28,8,9,7
4,1,1509196599.985942,2.922181,0.955845,0,28,8,9,7
5,1,1509196600.194000,3.085376,0.959828,0,28,8,9,7
6,1,1509196600.209002,3.020207,0.940927,0,28,8,9,7
7,1,1509196600.303802,3.209388,0.960643,0,28,8,9,7
8,1,1509196600.325667,3.184854,0.977573,0,28,8,9,7
9,9,1509196601.456474,2.238776,0.886926,0,28,8,9,7
10,10,1509196601.839596,2.060365,0.966259,0,28,8,9,7
11,10,1509196601.985082,2.242015,0.919674,0,28,8,9,7
12,11,1509196602.410691,2.198030,0.929456,0,28,8,9,7
13,11,1509196602.678570,2.670499,0.866437,0,28,8,9,7
14,12,1509196602.764903,2.417237,0.933565,0,28,8,9,7
15,12,1509196602.812928,2.586047,0.829561,0,28,8,9,7
16,12,1509196602.842621,2.516985,0.892697,0,28,8,9,7
17,17,1509196603.591957,2.133236,0.911354,0,28,8,9,7
18,17,1509196603.763528,1.921915,0.927849,0,28,8,9,7
19,19,1509196604.075825,2.088837,0.887612,0,28,8,9,7
20,20,1509196604.342014,1.929679,0.926516,0,28,8,9,7
21,21,1509196605.117036,2.436520,0.854974,0,28,8,9,7
22,21,1509196605.257104,2.442137,0.779673,0,28,8,9,7
23,21,1509196605.323957,2.557091,0.885923,0,28,8,9,7
24,21,1509196605.332109,2.487513,0.852814,0,28,8,9,7
25,25,1509196605.895152,2.129688,0.900391,0,28,8,9,7
26,25,1509196605.976033,2.381908,0.904954,0,28,8,9,7
27,27,1509196606.277327,2.199684,0.885462,0,28,8,9,7
28,27,1509196606.419299,2.075774,0.919797,0,28,8,9,7
29,29,1509196607.507168,2.388151,0.840216,0,28,8,9,7
30,29,1509196607.746441,2.420531,0.846215,0,28,8,9,7
31,29,1509196607.801923,2.542801,0.736768,0,28,8,9,7
32,29,1509196607.817199,2.483189,0.830676,0,28,8,9,7
33,31,1509196608.081244,2.184118,0.892774,0,28,8,9,7
34,33,1509196608.204375,2.226136,0.864926,0,28,8,9,7
35,34,1509196608.411974,2.133047,0.858071,0,28,8,9,7
36,35,1509196608.546527,2.125408,0.883588,0,28,8,9,7
37,37,1509196609.473329,1.964388,0.765684,0,28,8,9,7
38,38,1509196610.265905,2.446718,0.824462,0,28,8,9,7
39,38,1509196610.393714,2.645289,0.804272,0,28,8,9,7
40,38,1509196610.480878,2.397644,0.880259,0,28,8,9,7
41,38,1509196610.492103,2.688188,0.684437,0,28,8,9,7
42,38,1509196610.675289,2.127540,0.844371,0,28,8,9,7
43,38,1509196610.820386,2.613779,0.844282,0,28,8,9,7
44,38,1509196610.836150,2.422182,0.829989,0,28,8,9,7
45,45,1509196611.569675,2.094972,0.757134,0,28,8,9,7
46,46,1509196612.320951,2.053076,0.772596,0,28,8,9,7
47,47,1509196613.274150,2.791266,0.839753,0,28,8,9,7
48,47,1509196613.394104,2.555923,0.804146,0,28,8,9,7
49,47,1509196613.399754,2.905671,0.688231,0,28,8,9,7
50,47,1509196613.453264,2.776196,0.841575,0,28,8,9,7
51,47,1509196613.509572,2.686964,0.827100,0,28,8,9,7
52,47,1509196613.518127,3.122368,0.808178,0,28,8,9,7
53,50,1509196613.712935,2.140943,0.742690,0,28,8,9,7
54,54,1509196614.403471,2.080616,0.745764,0,28,8,9,7
55,55,1509196615.441726,2.165625,0.865764,0,28,8,9,7
56,55,1509196615.998257,2.602209,0.843545,0,28,8,9,7
57,55,1509196616.004076,2.602405,0.757812,0,28,8,9,7
58,55,1509196616.143241,2.687990,0.750504,0,28,8,9,7
59,55,1509196616.225538,2.705508,0.796384,0,28,8,9,7
60,56,1509196616.236836,2.521997,0.669992,0,28,8,9,7
61,56,1509196616.298795,2.786996,0.691350,0,28,8,9,7
62,59,1509196616.481796,2.076343,0.780630,0,28,8,9,7
63,63,1509196617.460258,2.016632,0.866245,0,28,8,9,7
64,64,1509196618.220598,2.220554,0.722191,0,28,8,9,7
65,64,1509196618.386095,2.147621,0.622531,0,28,8,9,7
