step,local_step,timestamp,elapsed_time_sec,loss,config_idx,ps_num,worker_num,intra_op_parallelism_threads,inter_op_parallelism_threads
1,1,1509154147.346993,1.633240,2.299881,0,26,10,5,11
2,1,1509154147.360724,2.011434,2.302844,0,26,10,5,11
3,1,1509154147.381435,1.668227,2.300807,0,26,10,5,11
4,1,1509154147.414295,1.715255,2.299117,0,26,10,5,11
5,1,1509154147.452162,1.767250,2.299979,0,26,10,5,11
6,1,1509154147.459113,1.689433,2.302044,0,26,10,5,11
7,1,1509154147.463827,1.751507,2.307289,0,26,10,5,11
8,1,1509154147.495491,1.829684,2.298037,0,26,10,5,11
9,2,1509154147.614252,0.254276,2.299422,0,26,10,5,11
10,3,1509154147.637119,0.274940,2.275787,0,26,10,5,11
11,4,1509154147.680759,0.278579,2.284649,0,26,10,5,11
12,5,1509154147.756066,0.328823,2.295853,0,26,10,5,11
13,1,1509154147.784886,2.117978,2.300824,0,26,10,5,11
14,8,1509154147.789811,0.312405,2.284981,0,26,10,5,11
15,8,1509154147.808936,0.332818,2.291157,0,26,10,5,11
16,8,1509154147.809490,0.336954,2.281132,0,26,10,5,11
17,10,1509154147.908790,0.293011,2.282683,0,26,10,5,11
18,11,1509154147.913390,0.275142,2.290084,0,26,10,5,11
19,12,1509154147.917349,0.235735,2.303035,0,26,10,5,11
20,9,1509154147.962033,0.442861,2.278717,0,26,10,5,11
21,1,1509154147.974741,2.221479,2.300588,0,26,10,5,11
22,15,1509154148.089579,0.298545,2.278504,0,26,10,5,11
23,13,1509154148.109139,0.351828,2.295513,0,26,10,5,11
24,17,1509154148.133000,0.322417,2.280498,0,26,10,5,11
25,20,1509154148.214205,0.295489,2.275396,0,26,10,5,11
26,20,1509154148.236821,0.322509,2.260938,0,26,10,5,11
27,17,1509154148.250260,0.440036,2.278424,0,26,10,5,11
28,21,1509154148.312274,0.348734,2.275313,0,26,10,5,11
29,16,1509154148.372088,0.565419,2.277377,0,26,10,5,11
30,22,1509154148.376319,0.380379,2.273897,0,26,10,5,11
31,25,1509154148.378767,0.244534,2.265162,0,26,10,5,11
32,18,1509154148.386206,0.476613,2.291755,0,26,10,5,11
33,24,1509154148.401724,0.291067,2.242566,0,26,10,5,11
34,26,1509154148.459952,0.244239,2.246319,0,26,10,5,11
35,27,1509154148.511708,0.273360,2.233750,0,26,10,5,11
36,23,1509154148.514944,0.424215,2.246168,0,26,10,5,11
37,29,1509154148.639852,0.326119,2.226282,0,26,10,5,11
38,28,1509154148.695103,0.443368,2.237702,0,26,10,5,11
39,32,1509154148.706255,0.326254,2.221969,0,26,10,5,11
40,35,1509154148.770142,0.308689,2.203914,0,26,10,5,11
41,37,1509154148.825014,0.311920,2.250600,0,26,10,5,11
42,34,1509154148.837926,0.434778,2.214305,0,26,10,5,11
43,32,1509154148.852488,0.474673,2.229968,0,26,10,5,11
44,37,1509154148.894915,0.378582,2.200436,0,26,10,5,11
45,38,1509154148.922439,0.281087,2.194385,0,26,10,5,11
46,30,1509154148.936166,0.562575,2.216280,0,26,10,5,11
47,33,1509154148.966982,0.579238,2.258554,0,26,10,5,11
48,40,1509154148.981419,0.274273,2.178913,0,26,10,5,11
49,41,1509154148.989909,0.218050,2.173744,0,26,10,5,11
50,42,1509154149.109378,0.282841,2.159284,0,26,10,5,11
51,39,1509154149.125900,0.429289,2.159127,0,26,10,5,11
52,43,1509154149.164617,0.324959,2.215018,0,26,10,5,11
53,45,1509154149.230972,0.334556,2.170049,0,26,10,5,11
54,46,1509154149.277172,0.353217,2.188540,0,26,10,5,11
55,50,1509154149.307221,0.316410,2.091127,0,26,10,5,11
