step,local_step,timestamp,elapsed_time_sec,loss,config_idx,ps_num,worker_num,intra_op_parallelism_threads,inter_op_parallelism_threads
1,1,1509000039.030076,1.927493,0.961299,0,34,2,15,1
2,2,1509000039.415374,2.304518,0.953737,0,34,2,15,1
3,3,1509000041.104705,2.053041,0.926716,0,34,2,15,1
4,4,1509000041.648844,2.230888,0.928925,0,34,2,15,1
5,5,1509000042.967426,1.860671,0.949949,0,34,2,15,1
6,6,1509000043.665172,2.014102,0.928136,0,34,2,15,1
7,7,1509000045.132820,2.163444,0.933684,0,34,2,15,1
8,8,1509000045.727875,2.060508,0.899644,0,34,2,15,1
9,9,1509000047.220324,2.085551,0.877692,0,34,2,15,1
10,10,1509000047.813038,2.082983,0.846449,0,34,2,15,1
11,11,1509000049.093587,1.871392,0.883083,0,34,2,15,1
12,12,1509000049.761690,1.946643,0.904138,0,34,2,15,1
13,13,1509000050.948986,1.853462,0.861773,0,34,2,15,1
14,14,1509000051.791874,2.028058,0.870903,0,34,2,15,1
15,15,1509000052.881201,1.930283,0.911208,0,34,2,15,1
16,16,1509000054.100171,2.306063,0.865557,0,34,2,15,1
17,17,1509000054.678830,1.795855,0.939560,0,34,2,15,1
18,18,1509000056.376119,2.273794,0.896618,0,34,2,15,1
19,18,1509000056.603684,1.922863,0.924528,0,34,2,15,1
20,20,1509000058.664860,2.286566,0.746683,0,34,2,15,1
21,20,1509000058.687649,2.082175,0.803470,0,34,2,15,1
22,22,1509000060.715419,2.025988,0.836254,0,34,2,15,1
23,22,1509000060.816776,2.149758,0.761357,0,34,2,15,1
24,24,1509000062.648853,1.932159,0.756470,0,34,2,15,1
25,24,1509000062.925167,2.106304,0.675564,0,34,2,15,1
26,26,1509000064.602405,1.951767,0.805458,0,34,2,15,1
27,27,1509000065.182800,2.255466,0.718688,0,34,2,15,1
28,28,1509000066.572427,1.968368,0.763273,0,34,2,15,1
29,29,1509000067.540078,2.355142,0.768638,0,34,2,15,1
30,30,1509000068.389137,1.815251,0.768112,0,34,2,15,1
31,31,1509000069.566825,2.024558,0.811255,0,34,2,15,1
32,32,1509000070.464090,2.073888,0.743610,0,34,2,15,1
33,33,1509000071.723931,2.154925,0.688515,0,34,2,15,1
34,34,1509000072.452478,1.987153,0.721420,0,34,2,15,1
35,35,1509000073.969543,2.243514,0.673477,0,34,2,15,1
36,36,1509000074.387529,1.933439,0.704204,0,34,2,15,1
37,37,1509000076.227782,2.256069,0.723371,0,34,2,15,1
38,37,1509000076.416834,2.028002,0.792227,0,34,2,15,1
39,39,1509000078.326678,2.096699,0.562893,0,34,2,15,1
40,40,1509000078.619281,2.200518,0.623630,0,34,2,15,1
41,41,1509000080.688777,2.359895,0.590804,0,34,2,15,1
42,41,1509000080.780768,2.159751,0.539868,0,34,2,15,1
43,43,1509000082.729238,1.946810,0.533317,0,34,2,15,1
44,44,1509000083.068695,2.377804,0.633201,0,34,2,15,1
45,45,1509000084.882999,2.151860,0.584974,0,34,2,15,1
46,46,1509000085.296952,2.226118,0.492244,0,34,2,15,1
