step,local_step,timestamp,elapsed_time_sec,loss,config_idx,ps_num,worker_num,intra_op_parallelism_threads,inter_op_parallelism_threads
1,1,1509513581.405466,2.656688,0.693146,0,19,17,13,3
2,1,1509513584.570335,5.483272,0.693146,0,19,17,13,3
3,1,1509513585.033728,5.870080,0.693146,0,19,17,13,3
4,1,1509513586.367887,7.325100,0.693146,0,19,17,13,3
5,1,1509513586.613259,7.494662,0.693146,0,19,17,13,3
6,1,1509513586.635350,7.585524,0.693146,0,19,17,13,3
7,1,1509513586.755015,7.711094,0.693146,0,19,17,13,3
8,1,1509513586.880642,7.854838,0.693146,0,19,17,13,3
9,1,1509513586.943776,7.891207,0.693146,0,19,17,13,3
10,1,1509513586.964266,7.973095,0.693146,0,19,17,13,3
11,1,1509513587.019069,7.976562,0.693146,0,19,17,13,3
12,1,1509513587.055827,7.997204,0.693146,0,19,17,13,3
13,1,1509513587.070022,8.004302,0.693146,0,19,17,13,3
14,2,1509513587.087575,5.680366,0.692874,0,19,17,13,3
15,1,1509513587.127432,8.079409,0.693146,0,19,17,13,3
16,1,1509513587.153122,8.040120,0.693146,0,19,17,13,3
17,1,1509513587.167387,8.124494,0.693146,0,19,17,13,3
18,1,1509513587.206298,8.173447,0.693146,0,19,17,13,3
19,4,1509513587.488614,2.433054,0.689807,0,19,17,13,3
20,4,1509513587.525402,2.932285,0.689922,0,19,17,13,3
21,19,1509513590.360614,3.726296,0.683711,0,19,17,13,3
22,20,1509513590.688621,4.298796,0.683711,0,19,17,13,3
23,21,1509513591.738396,5.081815,0.683387,0,19,17,13,3
24,21,1509513592.070114,4.580357,0.684081,0,19,17,13,3
25,21,1509513592.769090,5.679866,0.684178,0,19,17,13,3
26,21,1509513593.096282,5.569493,0.684081,0,19,17,13,3
27,21,1509513594.111293,7.019002,0.683287,0,19,17,13,3
28,21,1509513594.186596,7.409893,0.683387,0,19,17,13,3
29,21,1509513594.221628,7.046923,0.683287,0,19,17,13,3
30,23,1509513594.317084,3.954920,0.682373,0,19,17,13,3
31,21,1509513594.355793,7.390191,0.683387,0,19,17,13,3
32,21,1509513594.401759,7.212731,0.683287,0,19,17,13,3
33,21,1509513594.469741,7.428792,0.683287,0,19,17,13,3
34,21,1509513594.512945,7.526437,0.683287,0,19,17,13,3
35,21,1509513594.561275,7.659261,0.683387,0,19,17,13,3
36,21,1509513594.582406,7.504879,0.683287,0,19,17,13,3
37,21,1509513594.602736,7.380194,0.683287,0,19,17,13,3
38,21,1509513594.628036,7.478730,0.683287,0,19,17,13,3
39,23,1509513594.724057,4.034170,0.682373,0,19,17,13,3
40,26,1509513595.174416,3.102751,0.681724,0,19,17,13,3
41,25,1509513595.266278,3.526340,0.681516,0,19,17,13,3
42,27,1509513595.390076,2.292331,0.681385,0,19,17,13,3
43,27,1509513595.499648,2.728902,0.681385,0,19,17,13,3
44,40,1509513596.807271,2.694423,0.677895,0,19,17,13,3
45,40,1509513598.261730,4.038602,0.677734,0,19,17,13,3
46,44,1509513599.242493,4.516852,0.678132,0,19,17,13,3
47,43,1509513599.707635,5.389060,0.678402,0,19,17,13,3
48,44,1509513600.350308,5.174384,0.678630,0,19,17,13,3
49,44,1509513600.644261,5.376225,0.678035,0,19,17,13,3
50,41,1509513600.696500,6.508374,0.677586,0,19,17,13,3
51,41,1509513601.336985,6.979622,0.677351,0,19,17,13,3
52,42,1509513601.405673,7.002371,0.677351,0,19,17,13,3
53,43,1509513601.426207,6.842653,0.677124,0,19,17,13,3
54,43,1509513601.476990,6.872755,0.677124,0,19,17,13,3
55,44,1509513601.654634,7.140189,0.676906,0,19,17,13,3
56,44,1509513601.820343,7.190805,0.676906,0,19,17,13,3
57,44,1509513601.839510,6.447929,0.678630,0,19,17,13,3
58,44,1509513601.856209,6.354890,0.678630,0,19,17,13,3
59,44,1509513601.910823,7.348004,0.676906,0,19,17,13,3
60,42,1509513601.939240,7.467974,0.677351,0,19,17,13,3
61,46,1509513602.220278,3.957074,0.676086,0,19,17,13,3
62,48,1509513602.546352,3.302359,0.676415,0,19,17,13,3
63,49,1509513602.601493,2.892409,0.676067,0,19,17,13,3
64,45,1509513602.766017,5.957239,0.677546,0,19,17,13,3
65,53,1509513603.144293,2.792455,0.675045,0,19,17,13,3
66,56,1509513603.648981,3.003326,0.674453,0,19,17,13,3
67,55,1509513603.664960,2.966910,0.673109,0,19,17,13,3
68,62,1509513604.995832,3.588642,0.671319,0,19,17,13,3
69,62,1509513605.664567,4.186047,0.671319,0,19,17,13,3
70,62,1509513606.108970,4.681624,0.671319,0,19,17,13,3
71,62,1509513606.521921,5.183411,0.671319,0,19,17,13,3
72,65,1509513607.457062,5.616045,0.672991,0,19,17,13,3
73,66,1509513607.580312,5.358567,0.671511,0,19,17,13,3
74,65,1509513608.053247,6.195364,0.672885,0,19,17,13,3
75,65,1509513608.082256,6.260611,0.670556,0,19,17,13,3
76,64,1509513608.098061,6.441925,0.670882,0,19,17,13,3
77,66,1509513608.142286,5.594438,0.672733,0,19,17,13,3
78,68,1509513608.258515,5.112891,0.672517,0,19,17,13,3
79,66,1509513608.276332,5.508778,0.671511,0,19,17,13,3
80,65,1509513608.349477,6.408723,0.670556,0,19,17,13,3
81,68,1509513608.362736,5.759806,0.672245,0,19,17,13,3
82,68,1509513608.399734,4.733244,0.670634,0,19,17,13,3
83,68,1509513608.427477,4.777085,0.671958,0,19,17,13,3
84,65,1509513608.451401,6.539058,0.670556,0,19,17,13,3
85,85,1509513620.232330,2.966155,0.663625,1,15,21,7,9
86,85,1509513624.467531,7.183915,0.663625,1,15,21,7,9
87,85,1509513625.076644,7.783655,0.663625,1,15,21,7,9
88,85,1509513625.157261,7.871186,0.663625,1,15,21,7,9
89,85,1509513625.540698,8.273079,0.663625,1,15,21,7,9
90,85,1509513625.768753,8.482341,0.663625,1,15,21,7,9
91,85,1509513625.834751,8.600876,0.663625,1,15,21,7,9
92,85,1509513625.980792,8.674587,0.663625,1,15,21,7,9
93,85,1509513626.110611,9.010099,0.663625,1,15,21,7,9
94,85,1509513626.409203,9.193338,0.663625,1,15,21,7,9
95,85,1509513626.447064,9.120710,0.663625,1,15,21,7,9
96,85,1509513626.469111,9.191839,0.663625,1,15,21,7,9
97,85,1509513626.633700,9.406103,0.663625,1,15,21,7,9
98,86,1509513626.649297,6.394895,0.664094,1,15,21,7,9
99,85,1509513626.674508,9.482859,0.663625,1,15,21,7,9
100,85,1509513626.727172,9.440003,0.663625,1,15,21,7,9
101,85,1509513626.793121,9.540815,0.663625,1,15,21,7,9
102,85,1509513626.809127,9.489702,0.663625,1,15,21,7,9
103,85,1509513626.828836,9.440799,0.663625,1,15,21,7,9
104,85,1509513626.839606,9.543815,0.663625,1,15,21,7,9
105,85,1509513626.913411,9.668867,0.663625,1,15,21,7,9
106,85,1509513626.955850,9.661537,0.663625,1,15,21,7,9
107,90,1509513627.576798,3.087102,0.661609,1,15,21,7,9
108,94,1509513628.025346,2.932250,0.660965,1,15,21,7,9
109,94,1509513628.189071,3.010222,0.660965,1,15,21,7,9
110,100,1509513628.860415,3.297699,0.660009,1,15,21,7,9
111,106,1509513629.631059,3.774838,0.659023,1,15,21,7,9
112,106,1509513630.086204,4.295722,0.659023,1,15,21,7,9
113,107,1509513630.712585,4.710285,0.658790,1,15,21,7,9
114,108,1509513631.364755,4.713909,0.658075,1,15,21,7,9
115,110,1509513632.463212,4.884903,0.657638,1,15,21,7,9
116,107,1509513633.402219,7.289893,0.658790,1,15,21,7,9
117,107,1509513634.624528,8.155902,0.658790,1,15,21,7,9
118,107,1509513635.152859,8.662862,0.658790,1,15,21,7,9
