step,local_step,timestamp,elapsed_time_sec,loss,config_idx,ps_num,worker_num,intra_op_parallelism_threads,inter_op_parallelism_threads
1,1,1509001255.946083,2.160868,0.952199,0,30,6,3,13
2,1,1509001256.356931,2.357703,0.917808,0,30,6,3,13
3,1,1509001256.603923,2.622271,0.950187,0,30,6,3,13
4,2,1509001256.756039,3.001254,0.947680,0,30,6,3,13
5,1,1509001256.847364,2.866075,0.956906,0,30,6,3,13
6,2,1509001256.902375,2.931381,0.934967,0,30,6,3,13
7,7,1509001258.194010,2.246067,0.854786,0,30,6,3,13
8,7,1509001258.477253,2.098749,0.737484,0,30,6,3,13
9,8,1509001258.723470,2.098484,0.868640,0,30,6,3,13
10,9,1509001259.072007,2.202647,0.851096,0,30,6,3,13
11,10,1509001259.151252,2.372996,0.776248,0,30,6,3,13
12,10,1509001259.237879,2.314278,0.866245,0,30,6,3,13
13,13,1509001260.113967,1.918202,0.809249,0,30,6,3,13
14,14,1509001260.440523,1.961282,0.548853,0,30,6,3,13
15,15,1509001260.763643,2.038161,0.735266,0,30,6,3,13
16,15,1509001260.945322,1.871319,0.748075,0,30,6,3,13
17,16,1509001261.273362,2.033503,0.756554,0,30,6,3,13
18,17,1509001261.350491,2.197026,0.739663,0,30,6,3,13
19,19,1509001262.221039,2.105813,0.658811,0,30,6,3,13
20,20,1509001262.604311,2.161775,0.378285,0,30,6,3,13
21,20,1509001262.840573,2.074959,0.685266,0,30,6,3,13
22,21,1509001262.944988,1.997586,0.677544,0,30,6,3,13
23,23,1509001263.249006,1.973755,0.586338,0,30,6,3,13
24,24,1509001263.683568,2.330865,0.729988,0,30,6,3,13
25,25,1509001264.263725,2.040710,0.694113,0,30,6,3,13
26,26,1509001264.717793,2.111604,0.216285,0,30,6,3,13
27,26,1509001264.875462,2.033000,0.672758,0,30,6,3,13
28,27,1509001265.071588,2.124717,0.570849,0,30,6,3,13
29,28,1509001265.304150,2.053330,0.618408,0,30,6,3,13
30,30,1509001265.971845,2.286190,0.789858,0,30,6,3,13
31,30,1509001266.180492,1.914808,0.715355,0,30,6,3,13
32,32,1509001266.974786,2.097404,0.703236,0,30,6,3,13
33,32,1509001267.110952,2.391147,0.200295,0,30,6,3,13
34,32,1509001267.204679,2.131291,0.552203,0,30,6,3,13
35,33,1509001267.312927,2.007167,0.573814,0,30,6,3,13
36,36,1509001268.198431,2.224330,0.650433,0,30,6,3,13
37,36,1509001268.291399,2.108827,0.656208,0,30,6,3,13
38,38,1509001268.960154,1.983748,0.706318,0,30,6,3,13
39,38,1509001269.220685,2.108069,0.203758,0,30,6,3,13
40,39,1509001269.340600,2.134143,0.726426,0,30,6,3,13
41,39,1509001269.449207,2.134277,0.589709,0,30,6,3,13
42,41,1509001279.529010,2.377148,0.555032,1,18,18,13,3
43,41,1509001280.122086,2.978681,0.766230,1,18,18,13,3
44,41,1509001280.966465,3.781650,0.522082,1,18,18,13,3
45,41,1509001281.015442,3.801305,0.884127,1,18,18,13,3
46,41,1509001281.662516,4.458403,0.652615,1,18,18,13,3
47,41,1509001281.880037,4.669894,0.652600,1,18,18,13,3
48,41,1509001282.051074,4.776968,0.666066,1,18,18,13,3
49,41,1509001282.076119,4.893761,0.805456,1,18,18,13,3
50,41,1509001282.128994,4.868414,0.626332,1,18,18,13,3
51,41,1509001282.243291,5.037501,0.514938,1,18,18,13,3
52,45,1509001282.297900,2.747024,0.649099,1,18,18,13,3
53,41,1509001282.334693,5.165275,0.572275,1,18,18,13,3
54,41,1509001282.358960,5.081247,0.522088,1,18,18,13,3
55,42,1509001282.379177,4.983309,0.658454,1,18,18,13,3
56,41,1509001282.578231,5.373408,0.514938,1,18,18,13,3
57,41,1509001282.584314,5.406515,0.658159,1,18,18,13,3
58,41,1509001282.628755,5.403816,0.626993,1,18,18,13,3
59,48,1509001282.682748,2.538624,0.562122,1,18,18,13,3
60,41,1509001282.712087,5.526269,0.763138,1,18,18,13,3
61,41,1509001282.721663,5.827148,0.848674,1,18,18,13,3
62,61,1509001283.117475,2.131532,0.684275,1,18,18,13,3
63,61,1509001283.196057,2.161418,0.791678,1,18,18,13,3
64,63,1509001283.758942,2.074075,0.479018,1,18,18,13,3
65,63,1509001284.451361,2.378290,0.666948,1,18,18,13,3
66,64,1509001284.646388,2.734848,0.477267,1,18,18,13,3
67,64,1509001284.959976,2.862031,0.797747,1,18,18,13,3
68,64,1509001285.262743,2.997480,0.539180,1,18,18,13,3
69,64,1509001285.393794,2.709157,0.663292,1,18,18,13,3
70,64,1509001285.419466,3.119797,0.450715,1,18,18,13,3
71,64,1509001285.492008,3.342418,0.533024,1,18,18,13,3
72,64,1509001285.715101,3.334148,0.677636,1,18,18,13,3
73,66,1509001286.170965,3.051538,0.611881,1,18,18,13,3
