7
41
1.0,4,5,[ 0.95749867],2.5242729187
7.0,4,5,[ 0.93898231],2.16364789009
11.0,4,5,[ 0.88179648],1.99920606613
15.0,4,5,[ 0.87289095],2.16258406639
19.0,4,5,[ 0.88577735],2.18420505524
23.0,4,5,[ 0.90182269],1.88977885246
27.0,4,5,[ 0.89309067],2.02108311653
31.0,4,5,[ 0.85427976],2.08305501938
35.0,4,5,[ 0.89435184],2.08733892441
39.0,4,5,[ 0.85842586],1.87324810028
43.0,4,5,[ 0.83747512],2.1431760788
45.0,4,5,[ 0.81722206],1.86820197105
49.0,4,5,[ 0.78036875],2.11822891235
54.0,4,5,[ 0.79427749],2.10520100594
57.0,4,5,[ 0.79860806],2.03835916519
62.0,4,5,[ 0.71371049],2.20161890984
65.0,4,5,[ 0.74058384],2.11430096626
69.0,4,5,[ 0.76823628],1.9872739315
73.0,4,5,[ 0.79919493],2.35827302933
77.0,4,5,[ 0.8488214],1.84834098816
81.0,4,5,[ 0.3965877],2.21767401695
85.0,4,5,[ 0.6341908],2.04931592941
90.0,4,5,[ 0.65894091],2.23628091812
94.0,4,5,[ 0.63452947],2.13160896301
97.0,4,5,[ 0.61943018],1.94662499428
102.0,4,5,[ 0.6080929],2.24922895432
105.0,4,5,[ 0.57028425],1.94225502014
109.0,4,5,[ 0.65955925],2.07657504082
114.0,4,5,[ 0.73904312],2.23064398766
118.0,4,5,[ 0.77244627],2.01946806908
122.0,4,5,[ 0.54227901],2.25551199913
126.0,4,5,[ 0.55479711],2.17104506493
130.0,4,5,[ 0.53843796],2.09293413162
134.0,4,5,[ 0.56735867],2.0164899826
138.0,4,5,[ 0.61552584],2.26794481277
142.0,4,5,[ 0.56890023],2.15755987167
146.0,4,5,[ 0.56855094],2.07155799866
149.0,4,5,[ 0.6518302],1.98717308044
153.0,4,5,[ 0.51342416],2.30093502998
158.0,4,5,[ 0.57462519],2.10853600502
162.0,4,5,[ 0.52894574],2.37430787086
166.0,4,5,[ 0.5344556],2.00613903999
170.0,4,5,[ 0.52483869],2.42455601692
174.0,4,5,[ 0.60350043],2.06980395317
178.0,4,5,[ 0.51301616],2.17614197731
182.0,4,5,[ 0.56946146],2.05586409569
186.0,4,5,[ 0.53239214],2.19029808044
190.0,4,5,[ 0.48991787],2.2719771862
194.0,4,5,[ 0.58355671],2.065554142
198.0,4,5,[ 0.56112599],2.20626592636
202.0,4,5,[ 0.54674178],2.06746101379
206.0,4,5,[ 0.53134429],2.37561297417
210.0,4,5,[ 0.50190997],2.1389939785
214.0,4,5,[ 0.55470777],2.53844594955
218.0,4,5,[ 0.64092708],2.0733320713
222.0,4,5,[ 0.57176191],2.44677686691
