16
42
0,1,26,1,1,6,100,0.0001,3,13,2.30327,0.057137966156
4,1,26,1,1,6,100,0.0001,3,13,1.86649,0.214449167252
6,1,26,1,1,6,100,0.0001,3,13,1.7904,19.3104538918
15,1,26,1,1,6,100,0.0001,3,13,1.61935,0.0925269126892
26,1,26,1,1,6,100,0.0001,3,13,1.13076,0.533736944199
41,1,26,1,1,6,100,0.0001,3,13,0.908193,18.9323711395
53,1,26,1,1,6,100,0.0001,3,13,0.822862,0.0186388492584
0,1,26,1,1,6,100,0.0001,5,11,2.30592,0.0434889793396
2,1,26,1,1,6,100,0.0001,5,11,2.00343,0.163816928864
25,1,26,1,1,6,100,0.0001,5,11,1.02745,0.0313608646393
30,1,26,1,1,6,100,0.0001,5,11,1.11714,0.127866029739
49,1,26,1,1,6,100,0.0001,5,11,0.590706,0.0923039913177
0,1,26,1,1,6,100,0.0001,7,9,2.30181,0.0580010414124
11,1,26,1,1,6,100,0.0001,7,9,1.55063,0.146448135376
12,1,26,1,1,6,100,0.0001,7,9,1.27877,19.1743869781
19,1,26,1,1,6,100,0.0001,7,9,1.25056,0.102365970612
20,1,26,1,1,6,100,0.0001,7,9,1.32413,20.1732211113
0,1,26,1,1,6,100,0.0001,9,7,2.30317,0.116055965424
1,1,26,1,1,6,100,0.0001,9,7,1.96774,0.0748200416565
24,1,26,1,1,6,100,0.0001,9,7,1.11232,0.0166318416595
25,1,26,1,1,6,100,0.0001,9,7,1.04907,0.105129957199
0,1,26,1,1,6,100,0.0001,11,5,2.3008,0.0415439605713
24,1,26,1,1,6,100,0.0001,11,5,0.894747,19.1818840504
36,1,26,1,1,6,100,0.0001,11,5,0.870171,0.0762250423431
38,1,26,1,1,6,100,0.0001,11,5,0.957215,19.8574569225
0,1,26,1,1,6,100,0.0001,13,3,2.30187,0.144381999969
2,1,26,1,1,6,100,0.0001,13,3,1.99181,19.6013729572
7,1,26,1,1,6,100,0.0001,13,3,1.75187,0.162809848785
13,1,26,1,1,6,100,0.0001,13,3,1.27597,0.112701177597
26,1,26,1,1,6,100,0.0001,13,3,1.12153,0.205687046051
