step,local_step,timestamp,elapsed_time_sec,loss,config_idx,ps_num,worker_num,intra_op_parallelism_threads,inter_op_parallelism_threads
1,1,1509256123.618290,2.903873,0.946499,0,17,19,4,12
2,1,1509256125.966983,4.924872,0.962577,0,17,19,4,12
3,1,1509256126.163561,5.010309,0.962669,0,17,19,4,12
4,1,1509256126.223349,5.143994,0.950088,0,17,19,4,12
5,1,1509256126.448153,5.314473,0.960397,0,17,19,4,12
6,1,1509256126.457355,5.353158,0.968791,0,17,19,4,12
7,1,1509256126.507758,5.536569,0.965299,0,17,19,4,12
8,1,1509256126.528731,5.528387,0.977598,0,17,19,4,12
9,1,1509256126.549920,5.499066,0.972168,0,17,19,4,12
10,1,1509256126.606669,5.551012,0.966285,0,17,19,4,12
11,1,1509256126.612692,5.573966,0.952592,0,17,19,4,12
12,1,1509256126.622050,5.596489,0.962798,0,17,19,4,12
13,1,1509256126.693945,5.670944,0.990682,0,17,19,4,12
14,1,1509256126.711376,5.673240,0.951389,0,17,19,4,12
15,1,1509256126.741102,5.701816,0.963287,0,17,19,4,12
16,1,1509256126.774514,5.662558,0.968837,0,17,19,4,12
17,1,1509256126.784564,5.734340,0.946698,0,17,19,4,12
18,1,1509256126.817946,5.774829,0.959298,0,17,19,4,12
19,1,1509256126.831752,5.657437,0.963697,0,17,19,4,12
20,2,1509256126.837560,3.216968,0.950961,0,17,19,4,12
21,21,1509256128.255175,2.266831,0.740118,0,17,19,4,12
22,21,1509256129.104283,2.918926,0.758402,0,17,19,4,12
23,21,1509256129.292585,3.047811,0.784787,0,17,19,4,12
24,21,1509256129.626563,3.097330,0.840679,0,17,19,4,12
25,22,1509256130.387952,3.837090,0.870141,0,17,19,4,12
26,22,1509256130.406851,3.567082,0.799218,0,17,19,4,12
27,22,1509256130.479210,4.009262,0.792221,0,17,19,4,12
28,22,1509256131.115006,4.480362,0.779548,0,17,19,4,12
29,22,1509256131.159042,4.586909,0.766682,0,17,19,4,12
30,22,1509256131.242127,4.508490,0.696706,0,17,19,4,12
31,25,1509256131.378982,3.122132,0.762172,0,17,19,4,12
32,22,1509256131.485710,5.007320,0.763814,0,17,19,4,12
33,22,1509256131.559163,4.705683,0.789344,0,17,19,4,12
34,22,1509256131.583719,4.820773,0.780172,0,17,19,4,12
35,28,1509256131.590592,2.484332,0.809830,0,17,19,4,12
36,22,1509256131.598294,4.973175,0.866704,0,17,19,4,12
37,22,1509256131.608166,4.812755,0.751459,0,17,19,4,12
38,22,1509256131.615538,4.779549,0.796794,0,17,19,4,12
39,22,1509256131.631208,4.987013,0.775955,0,17,19,4,12
40,22,1509256131.671937,4.866497,0.788208,0,17,19,4,12
41,22,1509256131.743474,5.027190,0.920811,0,17,19,4,12
42,28,1509256131.775481,2.481005,0.756374,0,17,19,4,12
43,32,1509256131.834607,2.206123,0.698791,0,17,19,4,12
44,44,1509256132.449618,2.059701,0.769812,0,17,19,4,12
45,44,1509256132.598743,2.117572,0.701458,0,17,19,4,12
46,44,1509256132.702397,2.293400,0.744066,0,17,19,4,12
47,47,1509256133.946020,2.829007,0.722893,0,17,19,4,12
48,47,1509256134.269286,3.025190,0.560471,0,17,19,4,12
49,47,1509256134.281785,3.120750,0.787003,0,17,19,4,12
50,47,1509256134.641684,3.260716,0.692984,0,17,19,4,12
51,47,1509256134.908994,3.316369,0.732015,0,17,19,4,12
52,47,1509256135.138205,3.301653,0.616915,0,17,19,4,12
53,47,1509256135.450624,3.889440,0.678986,0,17,19,4,12
54,47,1509256135.543686,3.766212,0.676107,0,17,19,4,12
55,47,1509256135.838461,4.350753,0.727904,0,17,19,4,12
56,51,1509256135.923219,3.218154,0.633908,0,17,19,4,12
57,47,1509256135.929173,4.296061,0.792815,0,17,19,4,12
58,50,1509256136.016716,3.416051,0.705568,0,17,19,4,12
59,48,1509256136.026649,3.575016,0.728368,0,17,19,4,12
60,47,1509256136.078579,4.492858,0.674152,0,17,19,4,12
61,47,1509256136.092857,4.418993,0.712552,0,17,19,4,12
62,47,1509256136.123721,4.378245,0.822674,0,17,19,4,12
63,47,1509256136.154845,4.544774,0.705591,0,17,19,4,12
64,47,1509256136.195360,4.577877,0.723980,0,17,19,4,12
65,47,1509256136.202511,4.602212,0.739461,0,17,19,4,12
66,55,1509256136.334534,2.386641,0.673322,0,17,19,4,12
67,61,1509256136.484275,2.212983,0.524924,0,17,19,4,12
68,64,1509256136.564165,2.280396,0.773796,0,17,19,4,12
69,68,1509256136.903163,2.259664,0.712641,0,17,19,4,12
70,69,1509256137.092660,2.181741,0.704783,0,17,19,4,12
71,70,1509256137.228409,2.088212,0.462350,0,17,19,4,12
72,71,1509256137.575800,2.123300,0.645675,0,17,19,4,12
73,72,1509256137.664520,2.118852,0.578354,0,17,19,4,12
74,73,1509256138.881163,2.950017,0.609950,0,17,19,4,12
75,74,1509256138.932980,3.092493,0.516144,0,17,19,4,12
76,74,1509256139.160894,3.235467,0.744569,0,17,19,4,12
77,74,1509256139.467376,3.130896,0.665834,0,17,19,4,12
78,74,1509256139.558211,3.529516,0.623181,0,17,19,4,12
79,74,1509256139.600546,3.581823,0.713103,0,17,19,4,12
80,74,1509256139.727732,3.530450,0.571135,0,17,19,4,12
81,74,1509256139.800396,3.705720,0.613883,0,17,19,4,12
82,74,1509256139.809187,3.728727,0.600602,0,17,19,4,12
83,74,1509256139.832770,3.675903,0.593935,0,17,19,4,12
84,74,1509256139.849830,3.724104,0.744458,0,17,19,4,12
85,74,1509256139.873026,3.668457,0.661005,0,17,19,4,12
86,86,1509256150.895702,2.520870,0.612470,1,19,17,14,2
87,86,1509256151.304717,2.508649,0.645021,1,19,17,14,2
88,86,1509256152.079189,3.222777,0.500878,1,19,17,14,2
89,86,1509256152.205067,3.344940,0.670927,1,19,17,14,2
90,86,1509256152.368300,3.511965,0.226825,1,19,17,14,2
91,86,1509256152.983670,4.126305,0.811633,1,19,17,14,2
92,86,1509256153.167832,4.309384,0.746106,1,19,17,14,2
93,86,1509256153.522594,4.667251,0.389189,1,19,17,14,2
94,86,1509256153.606754,4.750666,0.811796,1,19,17,14,2
95,86,1509256153.634551,4.775754,0.599125,1,19,17,14,2
96,86,1509256153.714994,4.861676,0.393773,1,19,17,14,2
97,91,1509256153.725534,2.827686,0.437962,1,19,17,14,2
98,86,1509256153.790273,4.933588,0.787707,1,19,17,14,2
99,86,1509256153.799906,4.942297,0.829317,1,19,17,14,2
100,92,1509256153.807940,2.480595,0.646445,1,19,17,14,2
101,86,1509256153.851165,4.997429,0.401775,1,19,17,14,2
102,86,1509256153.861582,5.005624,0.558372,1,19,17,14,2
103,86,1509256153.876585,5.019347,0.596526,1,19,17,14,2
104,86,1509256153.884926,5.029841,0.620096,1,19,17,14,2
105,105,1509256154.162461,2.064607,0.515457,1,19,17,14,2
106,105,1509256154.276434,2.051644,0.478787,1,19,17,14,2
107,106,1509256154.501864,2.111360,0.516959,1,19,17,14,2
108,108,1509256155.122462,2.117038,1.034403,1,19,17,14,2
109,108,1509256155.234730,2.044833,0.762037,1,19,17,14,2
110,110,1509256156.745996,3.089921,0.685636,1,19,17,14,2
111,110,1509256156.817615,3.089944,0.496295,1,19,17,14,2
